Company,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Tata Power Company Limited,30-Dec-22,207.8,209.95,207.05,207.7,208.4301577,917803,14884,191297824,392129,42.72,2.9,-0.1
Tata Power Company Limited,29-Dec-22,208.7,208.75,205,205.85,206.4153971,479493,7227,98974738,155503,32.43,3.75,-2.85
Tata Power Company Limited,28-Dec-22,207.1,210.3,206.85,208.15,208.838132,904799,16014,188956533,322091,35.6,3.45,1.05
Tata Power Company Limited,27-Dec-22,207.3,208.3,204.85,207.7,206.6349545,1330719,24358,274973060,497740,37.4,3.45,0.4
Tata Power Company Limited,26-Dec-22,195.2,204.7,194.45,203.25,200.9273551,2100410,45917,422029826,1000958,47.66,10.25,8.05
Tata Power Company Limited,23-Dec-22,205.2,207.85,196,197,201.0236151,1384709,22065,278359209,823609,59.48,11.85,-8.2
Tata Power Company Limited,22-Dec-22,214.65,215.35,206.6,208.85,209.6085274,700307,13295,146790319,237469,33.91,8.75,-5.8
Tata Power Company Limited,21-Dec-22,218.1,219.4,212.55,213.75,216.0058008,553204,7886,119495273,275988,49.89,6.85,-4.35
Tata Power Company Limited,20-Dec-22,216.1,218.4,214.65,217.8,216.2749828,1006681,17705,217719916,459972,45.69,3.75,1.7
Tata Power Company Limited,19-Dec-22,217.75,218,214.85,216.8,216.389913,914763,22393,197945486,434738,47.52,3.15,-0.95
Tata Power Company Limited,16-Dec-22,220,222.4,216.15,217.35,218.762096,1304379,25733,285348684,619910,47.53,6.25,-2.65
Tata Power Company Limited,15-Dec-22,222.35,224.8,221,221.9,223.3711205,1099104,14959,245508092,498891,45.39,3.8,-0.45
Tata Power Company Limited,14-Dec-22,219.5,223.15,219.5,222.7,221.7254789,577267,6872,127994802,216123,37.44,3.65,3.2
Tata Power Company Limited,13-Dec-22,218.5,220.25,217.85,218.8,219.0254665,758055,16410,166033350,341429,45.04,2.4,0.3
Tata Power Company Limited,12-Dec-22,219.45,219.65,215.55,217.85,218.1781483,1424493,26466,310793245,931966,65.42,4.1,-1.6
Tata Power Company Limited,09-Dec-22,225.4,226.4,217.55,219.45,221.4331361,518426,8848,114796695,283134,54.61,8.85,-5.95
Tata Power Company Limited,08-Dec-22,225.6,227.2,224.65,225,225.526085,717329,13580,161776401,410403,57.21,2.55,-0.6
Tata Power Company Limited,07-Dec-22,228.25,229.5,225.4,225.9,226.9435456,519676,8349,117937114,337375,64.92,4.1,-2.35
Tata Power Company Limited,06-Dec-22,224,230.25,223.35,228.7,227.8945698,733841,9824,167238379,223085,30.4,6.9,4.7
Tata Power Company Limited,05-Dec-22,225.2,225.9,222.4,224.15,224.0536439,703603,11896,157644816,490587,69.72,3.5,-1.05
Tata Power Company Limited,02-Dec-22,225.1,226.25,223.9,225.2,225.0826172,321519,4933,72368338,93928,29.21,2.35,0.1
Tata Power Company Limited,01-Dec-22,224.75,227.1,223.6,224.85,225.2480541,1018149,17765,229336081,526389,51.7,3.5,0.1
Tata Power Company Limited,30-Nov-22,222.8,225.35,222.6,224.8,223.5008421,320015,4282,71523622,99839,31.2,2.75,2
Tata Power Company Limited,29-Nov-22,224.7,225.45,222.95,223.35,223.7537487,680910,14114,152356165,341966,50.22,2.5,-1.35
Tata Power Company Limited,28-Nov-22,223.7,226.35,223.2,224.65,224.7558515,785776,15416,176607754,431503,54.91,3.15,0.95
Tata Power Company Limited,25-Nov-22,220.65,224.75,220.25,224.15,223.412654,1016314,14952,227057408,594578,58.5,4.5,3.5
Tata Power Company Limited,24-Nov-22,221,221.6,219.55,220.75,220.3945456,262687,4705,57894782,109003,41.5,2.05,-0.25
Tata Power Company Limited,23-Nov-22,221.5,222.3,220.45,220.75,221.2039077,261074,3668,57750589,99024,37.93,1.85,-0.75
Tata Power Company Limited,22-Nov-22,221,221.85,219.1,220.45,220.2958266,392774,5191,86526473,216095,55.02,2.75,-0.55
Tata Power Company Limited,21-Nov-22,220.05,222.3,218.4,221.3,220.5254418,299999,5536,66157412,102642,34.21,3.9,1.25
Tata Power Company Limited,18-Nov-22,222.7,222.8,218.75,220.4,220.8806693,435043,6318,96092589,,,4.05,-2.3
Tata Power Company Limited,17-Nov-22,224.05,224.95,221,221.3,222.233585,866618,19441,192591625,410247,47.34,3.95,-2.75
Tata Power Company Limited,16-Nov-22,228.7,229.95,222.3,224.6,226.1092987,1349696,22841,305178816,763015,56.53,7.65,-4.1
Tata Power Company Limited,15-Nov-22,228.1,230.15,228,229.5,228.9318955,418489,4266,95805480,118393,28.29,2.15,1.4
Tata Power Company Limited,14-Nov-22,229.4,230.4,226.8,227.7,228.0345389,797913,15512,181951723,398072,49.89,3.6,-1.7
Tata Power Company Limited,11-Nov-22,231.7,232.2,229.35,229.75,230.5065906,353076,5321,81386345,119411,33.82,2.85,-1.95
Tata Power Company Limited,10-Nov-22,231,233.35,228.45,229.15,230.5873131,1103425,17225,254435806,508774,46.11,4.9,-1.85
Tata Power Company Limited,09-Nov-22,229.2,234.5,228.85,231.4,232.197655,2076284,26777,482108276,1149508,55.36,5.65,2.2
Tata Power Company Limited,07-Nov-22,228.05,230.35,227,229.2,228.9021032,412761,6541,94481861,118550,28.72,3.35,1.15
Tata Power Company Limited,04-Nov-22,228,229.3,226.75,228.25,227.7858526,281960,4467,64226499,83311,29.55,2.55,0.25
